ID do Item,Nome do Item,Categoria,Código QR,Data de Registro,Status
2,Item não encontrado,N/A,7908782213843,16/12/2025,disponivel
105,Item não encontrado,N/A,000005,28/01/2026,disponivel
105,Item não encontrado,N/A,000004,28/01/2026,disponivel
105,Item não encontrado,N/A,000003,28/01/2026,disponivel
105,Item não encontrado,N/A,000006,28/01/2026,disponivel
106,Item não encontrado,N/A,000010,16/12/2025,disponivel
106,Item não encontrado,N/A,000007,28/01/2026,disponivel
106,Item não encontrado,N/A,000008,28/01/2026,disponivel
106,Item não encontrado,N/A,000009,28/01/2026,disponivel
109,Item não encontrado,N/A,000560,28/01/2026,disponivel
109,Item não encontrado,N/A,000559,28/01/2026,disponivel
109,Item não encontrado,N/A,000561,28/01/2026,disponivel
109,Item não encontrado,N/A,000562,28/01/2026,disponivel
142,Item não encontrado,N/A,000582,16/12/2025,disponivel
142,Item não encontrado,N/A,000584,16/12/2025,disponivel
142,Item não encontrado,N/A,000581,16/12/2025,disponivel
142,Item não encontrado,N/A,000585,16/12/2025,disponivel
309,Item não encontrado,N/A,000226,15/12/2025,disponivel
309,Item não encontrado,N/A,000232,15/12/2025,disponivel
309,Item não encontrado,N/A,000224,15/12/2025,disponivel
309,Item não encontrado,N/A,000225,15/12/2025,disponivel
309,Item não encontrado,N/A,000228,15/12/2025,disponivel
309,Item não encontrado,N/A,000233,15/12/2025,disponivel
333,Item não encontrado,N/A,041333666815,16/12/2025,disponivel
380,Item não encontrado,N/A,000427,15/12/2025,disponivel
380,Item não encontrado,N/A,000418,15/12/2025,disponivel
380,Item não encontrado,N/A,000301,15/12/2025,disponivel
380,Item não encontrado,N/A,000423,15/12/2025,disponivel
380,Item não encontrado,N/A,000350,15/12/2025,disponivel
380,Item não encontrado,N/A,000420,15/12/2025,disponivel
380,Item não encontrado,N/A,000352,15/12/2025,disponivel
380,Item não encontrado,N/A,000424,15/12/2025,disponivel
380,Item não encontrado,N/A,000303,15/12/2025,disponivel
380,Item não encontrado,N/A,000428,15/12/2025,disponivel
380,Item não encontrado,N/A,000353,15/12/2025,disponivel
380,Item não encontrado,N/A,000349,15/12/2025,disponivel
380,Item não encontrado,N/A,000355,15/12/2025,disponivel
380,Item não encontrado,N/A,000351,15/12/2025,disponivel
380,Item não encontrado,N/A,000425,15/12/2025,disponivel
380,Item não encontrado,N/A,000304,15/12/2025,disponivel
380,Item não encontrado,N/A,000426,15/12/2025,disponivel
380,Item não encontrado,N/A,000338,15/12/2025,disponivel
380,Item não encontrado,N/A,000419,15/12/2025,disponivel
380,Item não encontrado,N/A,000421,15/12/2025,disponivel
380,Item não encontrado,N/A,000337,15/12/2025,disponivel
380,Item não encontrado,N/A,000422,15/12/2025,disponivel
380,Item não encontrado,N/A,000354,15/12/2025,disponivel
452,Item não encontrado,N/A,7908642000316,16/12/2025,disponivel
452,Item não encontrado,N/A,6906116791877,16/12/2025,disponivel
